ad_id,ad_date,day_of_the_week,hour_of_day,agency,ad_size,platform,device_type,format,impressions,clicks,spend
ads10098,2017-04-08,Saturday,23:00,Dentsu,728x119,Web,Desktop,Display,135939,165,129
ads10099,2017-04-09,Sunday,23:00,Zion,700x450,Web,Mobile,Video,625,39,3
ads10100,2017-04-10,Monday,23:00,MediaCom,336x250,App,Mobile,Display,96557,432,47
ads10101,2017-04-11,Tuesday,23:00,Paul and Clark,720x300,Web,Desktop,Display,130937,334,121
ads10102,2017-04-12,Wednesday,23:00,Mugen,480x70,App,Mobile,Display,90776,487,99
ads10103,2017-04-13,Thursday,23:00,Ogly,300x250,Web,Desktop,Display,132551,527,79
ads10104,2017-04-14,Friday,23:00,Mugen,300x250,App,Mobile,Video,41746,212,49
ads10105,2017-04-15,Saturday,23:00,Paul and Clark,480x70,App,Mobile,Display,69935,9019,433
ads10106,2017-04-16,Sunday,23:00,Zion,300x250,Web,Desktop,Display,9256,1173,64
ads10107,2017-04-17,Monday,23:00,MediaCom,336x250,Web,Mobile,Video,24670,3400,119
ads10108,2017-04-18,Tuesday,23:00,Dentsu,700x450,Web,Desktop,Video,13606,2118,135
ads10109,2017-04-19,Wednesday,23:00,Mugen,336x250,Web,Mobile,Display,740618,1083,469
ads10110,2017-04-20,Thursday,23:00,Dentsu,300x250,App,Mobile,Display,335240,800,250
ads10111,2017-04-21,Friday,23:00,MediaCom,480x70,Web,Mobile,Display,52658,191,44
ads10112,2017-04-22,Saturday,23:00,Ogly,336x250,Web,Mobile,Display,136658,350,126
ads10113,2017-04-23,Sunday,23:00,Paul and Clark,300x250,App,Mobile,Display,17842,2063,83
ads10114,2017-04-24,Monday,23:00,Zion,720x300,Web,Desktop,Display,144602,367,136
ads10115,2017-04-25,Tuesday,23:00,Zion,300x600,Web,Desktop,Display,325601,717,172
ads10116,2017-04-26,Wednesday,23:00,Paul and Clark,336x250,Web,Desktop,Video,23133,3177,115
ads10117,2017-04-27,Thursday,23:00,Ogly,300x250,Web,Mobile,Video,97038,649,92
ads10118,2017-04-28,Friday,23:00,MediaCom,336x250,Web,Desktop,Display,418813,935,252
ads10119,2017-04-29,Saturday,23:00,Dentsu,300x250,Web,Mobile,Display,38468,89,39
ads10120,2017-04-30,Sunday,23:00,Mugen,300x250,Web,Mobile,Video,64756,303,94
ads10121,2017-05-01,Monday,23:00,Ogly,700x450,App,Mobile,Video,200909,504,159
ads10122,2017-05-02,Tuesday,23:00,Dentsu,300x250,Web,Mobile,Display,121776,126,94
ads10123,2017-05-03,Wednesday,23:00,Zion,336x250,App,Mobile,Video,4891,612,33
ads10124,2017-05-04,Thursday,23:00,MediaCom,728x127,Web,Desktop,Display,111,10,1
ads10125,2017-05-05,Friday,23:00,Paul and Clark,336x250,App,Mobile,Display,9840,1226,64
ads10126,2017-05-06,Saturday,23:00,Mugen,300x250,Web,Desktop,Video,67050,334,67
ads10127,2017-05-07,Sunday,23:00,Ogly,728x128,Web,Desktop,Display,96630,554,99
ads10128,2017-05-08,Monday,23:00,Mugen,300x250,Web,Desktop,Display,133201,348,133
ads10129,2017-05-09,Tuesday,23:00,Paul and Clark,300x250,Web,Desktop,Video,6996,681,37
ads10130,2017-05-10,Wednesday,23:00,Zion,720x300,Web,Desktop,Display,4179,428,23
ads10131,2017-05-11,Thursday,23:00,MediaCom,480x70,App,Mobile,Display,57816,8644,478
ads10132,2017-05-12,Friday,23:00,Dentsu,336x250,Web,Mobile,Video,65706,370,64
ads10133,2017-05-13,Saturday,23:00,Mugen,300x250,App,Mobile,Video,813,45,3
ads10134,2017-05-14,Sunday,23:00,Dentsu,480x70,App,Mobile,Display,15266,1717,52
ads10135,2017-05-15,Monday,23:00,MediaCom,300x250,App,Mobile,Display,31686,5176,311
ads10136,2017-05-16,Tuesday,23:00,Ogly,300x250,App,Mobile,Video,254,22,2
ads10137,2017-05-17,Wednesday,23:00,Paul and Clark,700x450,Web,Desktop,Video,33185,109,28
ads10138,2017-05-18,Thursday,23:00,Zion,336x250,Web,Mobile,Display,10214,1478,97
ads10139,2017-05-19,Friday,23:00,Zion,720x300,Web,Desktop,Display,43265,7020,383
ads10140,2017-05-20,Saturday,23:00,Paul and Clark,480x70,Web,Mobile,Display,59793,292,85
ads10141,2017-05-21,Sunday,23:00,Ogly,336x250,Web,Mobile,Display,17906,2423,73
ads10142,2017-05-22,Monday,23:00,MediaCom,300x250,Web,Mobile,Video,64840,121,54
ads10143,2017-05-23,Tuesday,23:00,Dentsu,480x70,Web,Mobile,Display,11308,1549,65
ads10144,2017-05-24,Wednesday,23:00,Mugen,300x600,Web,Desktop,Display,63662,362,65
ads10145,2017-05-25,Thursday,23:00,Ogly,336x250,Web,Desktop,Video,126936,228,104
ads10146,2017-05-26,Friday,23:00,Dentsu,700x450,App,Mobile,Video,7894,1237,55
ads10147,2017-05-27,Saturday,23:00,Zion,336x250,Web,Desktop,Display,13041,1168,76
ads10148,2017-05-28,Sunday,23:00,MediaCom,300x250,Web,Mobile,Display,136776,304,145
ads10149,2017-05-29,Monday,23:00,Paul and Clark,728x133,Web,Desktop,Display,10762,1192,36
ads10150,2017-05-30,Tuesday,23:00,Mugen,336x250,Web,Desktop,Display,2104,236,14
ads10151,2017-05-31,Wednesday,23:00,Ogly,300x250,Web,Mobile,Display,151865,389,137
ads10152,2017-06-01,Thursday,23:00,Mugen,336x250,App,Mobile,Video,6073,814,57
ads10153,2017-06-02,Friday,23:00,Paul and Clark,700x450,Web,Mobile,Video,68086,390,69
ads10154,2017-06-03,Saturday,23:00,Zion,336x250,App,Mobile,Display,133354,658,70
ads10155,2017-06-04,Sunday,23:00,MediaCom,300x250,Web,Desktop,Video,41637,206,50
ads10156,2017-06-05,Monday,23:00,Dentsu,480x70,App,Mobile,Display,297813,626,207
ads10157,2017-06-06,Tuesday,23:00,Mugen,300x250,Web,Desktop,Display,7999,1253,58
ads10158,2017-06-07,Wednesday,23:00,Dentsu,300x250,Web,Desktop,Video,36691,6332,372
ads10159,2017-06-08,Thursday,23:00,MediaCom,720x300,Web,Desktop,Display,8439,1429,65
ads10160,2017-06-09,Friday,23:00,Ogly,300x250,Web,Desktop,Display,577,33,3
ads10161,2017-06-10,Saturday,23:00,Paul and Clark,336x250,Web,Mobile,Video,645,41,3
ads10162,2017-06-11,Sunday,23:00,Zion,300x250,App,Mobile,Video,20269,2293,87
ads10163,2017-06-12,Monday,23:00,Zion,336x250,Web,Mobile,Display,668,45,3
ads10164,2017-06-13,Tuesday,23:00,Paul and Clark,300x250,App,Mobile,Display,6882,817,50
ads10165,2017-06-14,Wednesday,23:00,Ogly,300x250,App,Mobile,Video,9915,1197,61
ads10166,2017-06-15,Thursday,23:00,MediaCom,700x450,Web,Desktop,Video,9664,1494,72
ads10167,2017-06-16,Friday,23:00,Dentsu,300x250,App,Mobile,Display,12061,1352,64
ads10168,2017-06-17,Saturday,23:00,Mugen,720x300,Web,Desktop,Display,16702,1860,84
ads10169,2017-06-18,Sunday,23:00,Ogly,480x70,Web,Mobile,Display,411,26,3
ads10170,2017-06-19,Monday,23:00,Dentsu,336x250,Web,Desktop,Video,331,24,2
ads10171,2017-06-20,Tuesday,23:00,Zion,300x250,Web,Mobile,Video,139967,671,102
ads10172,2017-06-21,Wednesday,23:00,MediaCom,480x70,Web,Mobile,Display,8542,1058,56
ads10173,2017-06-22,Thursday,23:00,Paul and Clark,300x250,Web,Mobile,Display,122295,261,98
ads10174,2017-06-23,Friday,23:00,Mugen,300x250,Web,Mobile,Video,7222,1007,27
ads10175,2017-06-24,Saturday,23:00,Ogly,700x450,App,Mobile,Video,6605,975,68
ads10176,2017-06-25,Sunday,23:00,Mugen,336x250,Web,Desktop,Display,3432,443,22
ads10177,2017-06-26,Monday,23:00,Paul and Clark,336x250,App,Mobile,Video,9577,1180,59
ads10178,2017-06-27,Tuesday,23:00,Zion,728x142,Web,Desktop,Display,4005,561,42
ads10179,2017-06-28,Wednesday,23:00,MediaCom,336x250,Web,Desktop,Display,17517,2008,89
ads10180,2017-06-29,Thursday,23:00,Dentsu,300x250,Web,Desktop,Video,357,26,3
ads10181,2017-06-30,Friday,23:00,Mugen,728x143,Web,Desktop,Display,36660,106,29
ads10182,2017-07-01,Saturday,23:00,Dentsu,700x450,Web,Mobile,Video,22507,46,22
ads10183,2017-07-02,Sunday,23:00,MediaCom,336x250,App,Mobile,Display,18985,2131,72
ads10184,2017-07-03,Monday,23:00,Ogly,720x300,Web,Desktop,Display,11893,1669,44
ads10185,2017-07-04,Tuesday,23:00,Paul and Clark,480x70,App,Mobile,Display,23835,46,23
ads10186,2017-07-05,Wednesday,23:00,Zion,300x250,Web,Desktop,Display,163,12,1
ads10187,2017-07-06,Thursday,23:00,Zion,300x250,App,Mobile,Video,9558,1230,69
ads10188,2017-07-07,Friday,23:00,Paul and Clark,480x70,App,Mobile,Display,16319,2350,148
ads10189,2017-07-08,Saturday,23:00,Ogly,300x250,Web,Desktop,Display,9303,1157,60
ads10190,2017-07-09,Sunday,23:00,MediaCom,336x250,Web,Mobile,Video,4623,693,51
ads10191,2017-07-10,Monday,23:00,Dentsu,700x450,Web,Desktop,Video,19305,29,11
ads10192,2017-07-11,Tuesday,23:00,Mugen,336x250,Web,Mobile,Display,39543,200,44
ads10193,2017-07-12,Wednesday,23:00,Ogly,300x250,App,Mobile,Display,470,23,3
ads10194,2017-07-13,Thursday,23:00,Dentsu,480x70,Web,Mobile,Display,2663,281,16
ads10195,2017-07-14,Friday,23:00,Zion,336x250,Web,Mobile,Display,310,19,2
ads10196,2017-07-15,Saturday,23:00,MediaCom,300x250,App,Mobile,Display,283,36,2
ads10197,2017-07-16,Sunday,23:00,Paul and Clark,720x300,Web,Desktop,Display,26580,71,18
ads10198,2017-07-17,Monday,23:00,Mugen,300x600,Web,Desktop,Display,463,42,3
ads10199,2017-07-18,Tuesday,23:00,Ogly,336x250,Web,Desktop,Video,16524,30,13
ads10200,2017-07-19,Wednesday,23:00,Mugen,300x250,Web,Mobile,Video,760,42,3
ads10201,2017-07-20,Thursday,23:00,Paul and Clark,336x250,Web,Desktop,Display,256,28,2
ads10202,2017-07-21,Friday,23:00,Zion,300x250,Web,Mobile,Display,11050,1560,99
ads10203,2017-07-22,Saturday,23:00,MediaCom,300x250,Web,Mobile,Video,898,135,8
ads10204,2017-07-23,Sunday,23:00,Dentsu,700x450,App,Mobile,Video,32,0,0
ads10205,2017-07-24,Monday,23:00,Mugen,300x250,Web,Mobile,Display,664,38,4
ads10206,2017-07-25,Tuesday,23:00,Dentsu,336x250,App,Mobile,Video,1894,243,12
ads10207,2017-07-26,Wednesday,23:00,MediaCom,728x151,Web,Desktop,Display,253,22,2
ads10208,2017-07-27,Thursday,23:00,Ogly,336x250,App,Mobile,Display,285,26,2
ads10209,2017-07-28,Friday,23:00,Paul and Clark,300x250,Web,Desktop,Video,29344,55,21
ads10210,2017-07-29,Saturday,23:00,Zion,728x152,Web,Desktop,Display,14061,16,7
ads10211,2017-07-30,Sunday,23:00,Zion,300x250,Web,Desktop,Display,15081,20,9
ads10212,2017-07-31,Monday,23:00,Paul and Clark,300x250,Web,Desktop,Video,213,15,2
ads10213,2017-08-01,Tuesday,23:00,Ogly,720x300,Web,Desktop,Display,298,24,3
ads10214,2017-08-03,Thursday,23:00,Dentsu,336x250,Web,Mobile,Video,38,0,0
ads10215,2017-08-04,Friday,23:00,Mugen,300x250,App,Mobile,Video,353,22,3
ads10216,2017-08-06,Sunday,23:00,Dentsu,300x250,App,Mobile,Display,1893,212,14
ads10217,2017-08-07,Monday,23:00,Zion,300x250,App,Mobile,Video,30,0,0
ads10218,2017-08-08,Tuesday,23:00,MediaCom,700x450,Web,Desktop,Video,279,24,2
ads10219,2017-08-09,Wednesday,23:00,Paul and Clark,336x250,Web,Mobile,Display,598,36,4
ads10220,2017-08-11,Friday,23:00,Ogly,480x70,Web,Mobile,Display,4931,764,36
ads10221,2017-08-12,Saturday,23:00,Mugen,336x250,Web,Mobile,Display,309,27,3
ads10222,2017-08-13,Sunday,23:00,Paul and Clark,300x250,Web,Mobile,Video,10,0,0
ads10223,2017-08-14,Monday,23:00,Zion,480x70,Web,Mobile,Display,519,40,3
ads10224,2017-08-15,Tuesday,23:00,MediaCom,300x600,Web,Desktop,Display,272,22,2
ads10225,2017-08-16,Wednesday,23:00,Dentsu,336x250,Web,Desktop,Video,241,22,2
ads10226,2017-08-17,Thursday,23:00,Mugen,700x450,App,Mobile,Video,428,37,2
ads10227,2017-08-18,Friday,23:00,Dentsu,336x250,Web,Desktop,Display,723,37,2
ads10228,2017-08-19,Saturday,23:00,MediaCom,300x250,Web,Mobile,Display,264,23,2
ads10229,2017-08-20,Sunday,23:00,Ogly,728x157,Web,Desktop,Display,80,8,1
ads10230,2017-08-21,Monday,23:00,Paul and Clark,336x250,Web,Desktop,Display,51,6,1
ads10231,2017-08-22,Tuesday,23:00,Zion,300x250,Web,Mobile,Display,147,12,1
ads10232,2017-08-23,Wednesday,23:00,Zion,336x250,App,Mobile,Video,226,16,1
ads10233,2017-08-24,Thursday,23:00,Paul and Clark,700x450,Web,Mobile,Video,1180,156,8
ads10234,2017-08-25,Friday,23:00,Ogly,336x250,App,Mobile,Display,412,29,2
ads10235,2017-08-29,Tuesday,23:00,Ogly,300x250,Web,Desktop,Video,1329,202,12
ads10236,2017-08-30,Wednesday,23:00,Dentsu,720x300,Web,Desktop,Display,302,30,2
ads10237,2017-08-31,Thursday,23:00,Zion,300x250,Web,Desktop,Display,280,24,2
ads10238,2017-09-01,Friday,23:00,MediaCom,336x250,Web,Mobile,Video,35,0,0
ads10239,2017-09-02,Saturday,23:00,Paul and Clark,300x250,App,Mobile,Video,49,0,0
ads10240,2017-09-03,Sunday,23:00,Mugen,336x250,Web,Mobile,Display,10,0,0
ads10241,2017-09-04,Monday,23:00,Ogly,300x250,App,Mobile,Display,101943,362,52
ads10242,2017-09-05,Tuesday,23:00,Mugen,300x250,App,Mobile,Video,131742,835,93
ads10243,2017-09-06,Wednesday,23:00,Paul and Clark,700x450,Web,Desktop,Video,219623,507,134
ads10244,2017-09-07,Thursday,23:00,Zion,300x250,App,Mobile,Display,287248,634,192
ads10245,2017-09-08,Friday,23:00,MediaCom,720x300,Web,Desktop,Display,442721,774,479
ads10246,2017-09-09,Saturday,23:00,Dentsu,480x70,Web,Mobile,Display,1104947,2179,999
ads10247,2017-09-10,Sunday,23:00,Mugen,336x250,Web,Desktop,Video,1251885,2393,858
ads10248,2017-09-11,Monday,23:00,Dentsu,300x250,Web,Mobile,Video,1322595,2481,901
ads10249,2017-09-12,Tuesday,23:00,MediaCom,480x70,Web,Mobile,Display,212020,436,144
ads10250,2017-09-13,Wednesday,23:00,Ogly,300x250,Web,Mobile,Display,92974,515,95
ads10251,2017-09-14,Thursday,23:00,Paul and Clark,300x250,Web,Mobile,Video,139780,770,83
ads10252,2017-09-15,Friday,23:00,Zion,700x450,App,Mobile,Video,121936,630,66
ads10253,2017-09-16,Saturday,23:00,Zion,336x250,Web,Desktop,Display,141571,178,124
ads10254,2017-09-17,Sunday,23:00,Paul and Clark,336x250,App,Mobile,Video,972143,1920,911
ads10255,2017-09-18,Monday,23:00,Ogly,728x166,Web,Desktop,Display,480849,601,337
ads10256,2017-09-19,Tuesday,23:00,MediaCom,336x250,Web,Desktop,Display,1335474,2442,1090
ads10257,2017-09-20,Wednesday,23:00,Dentsu,300x250,Web,Desktop,Video,279819,613,197
ads10258,2017-09-21,Thursday,23:00,Mugen,728x167,Web,Desktop,Display,338243,814,220
ads10259,2017-09-22,Friday,23:00,Ogly,700x450,Web,Mobile,Video,71102,9159,431
ads10260,2017-09-23,Saturday,23:00,Dentsu,336x250,App,Mobile,Display,75856,9367,367
ads10261,2017-09-24,Sunday,23:00,Zion,720x300,Web,Desktop,Display,48387,6806,356
ads10262,2017-09-25,Monday,23:00,MediaCom,480x70,App,Mobile,Display,64868,7921,284
ads10263,2017-09-26,Tuesday,23:00,Paul and Clark,300x250,Web,Desktop,Display,118698,817,101
ads10264,2017-09-27,Wednesday,23:00,Mugen,300x250,App,Mobile,Video,753579,1091,431
ads10265,2017-09-28,Thursday,23:00,Ogly,480x70,App,Mobile,Display,54384,306,71
ads10266,2017-09-29,Friday,23:00,Mugen,300x250,Web,Desktop,Display,98996,529,107
ads10267,2017-09-30,Saturday,23:00,Paul and Clark,336x250,Web,Mobile,Video,86978,457,79
ads10268,2017-10-01,Sunday,23:00,Zion,700x450,Web,Desktop,Video,519937,1153,264
ads10269,2017-10-02,Monday,23:00,MediaCom,336x250,Web,Mobile,Display,1069631,1702,635
ads10270,2017-10-03,Tuesday,23:00,Dentsu,300x250,App,Mobile,Display,285737,352,210
ads10271,2017-10-04,Wednesday,23:00,Mugen,480x70,Web,Mobile,Display,76941,172,59
ads10272,2017-10-05,Thursday,23:00,Dentsu,336x250,Web,Mobile,Display,147523,354,141
ads10273,2017-10-06,Friday,23:00,MediaCom,300x250,App,Mobile,Display,1330961,2588,969
ads10274,2017-10-07,Saturday,23:00,Ogly,720x300,Web,Desktop,Display,10723,1624,75
ads10275,2017-10-08,Sunday,23:00,Paul and Clark,300x600,Web,Desktop,Display,9451,1058,29
ads10276,2017-10-09,Monday,23:00,Zion,336x250,Web,Desktop,Video,18957,2456,96
ads10277,2017-10-10,Tuesday,23:00,Zion,300x250,Web,Mobile,Video,43858,6295,352
ads10278,2017-10-11,Wednesday,23:00,Paul and Clark,336x250,Web,Desktop,Display,125944,698,110
ads10279,2017-10-12,Thursday,23:00,Ogly,300x250,Web,Mobile,Display,90877,410,46
ads10280,2017-10-13,Friday,23:00,MediaCom,300x250,Web,Mobile,Video,55434,136,47
ads10281,2017-10-14,Saturday,23:00,Dentsu,700x450,App,Mobile,Video,66441,120,47
ads10282,2017-10-15,Sunday,23:00,Mugen,300x250,Web,Mobile,Display,343315,878,261
ads10283,2017-10-16,Monday,23:00,Ogly,336x250,App,Mobile,Video,1174710,2311,1012
ads10284,2017-10-17,Tuesday,23:00,Dentsu,728x175,Web,Desktop,Display,141780,319,141
ads10285,2017-10-18,Wednesday,23:00,Zion,336x250,App,Mobile,Display,53970,135,46
